원문,번역문
"국립환경과학원 대기질통합예보센터는 5일 수도권·강원 영서·충청권·전북에서 미세먼지 농도가 ‘매우 나쁨’ 수준을, 나머지 지역에서는 ‘나쁨’ 수준을 나타낼 것으로 전망했다.","The National Institute of Environmental Research's Air Quality Integrated Forecasting Center predicted on Thursday that fine dust concentrations in the metropolitan area, Gangwon Province, the west, the Chungcheong region, and North Jeolla Province will be at a ""very bad"" level and that in the rest of the country."
"그는 “RSK처럼 유명 메인넷임에도 한국 거래소에 많이 상장되지 않은 프로젝트들이 있는데, RSK 기반 토큰들을 입출금할 수 있는 API를 만들어 거래소 등에 공급하려 한다”고 말했다.","""There are some projects that are not listed on the Korean exchange even though they are well-known mainnets like RSK,"" he said. ""We will create an API that can deposit and withdraw RSK-based tokens and supply them to exchanges.”"
"유 작가는 진술서를 쓰다가 군법회의에서 공소기각 선고를 받고 풀려났으나, 영장이 나와 있어 신체검사를 받고 군에 입대했다.","Writer Yoo was released after receiving an indictment at a court martial while writing a statement, but was sent to the military after receiving a physical examination because of the warrant."
"연구소 측은 “국내외 경제 이슈로 ‘시장 환경 변화에 신속히 대응할 수 있도록 유동성을 확보해야 한다'는 인식이 당분간 지속될 것으로 보인다""고 설명했다.","The research institute said, “As a result of domestic and international economic issues, the recognition that ‘the liquidity must be secured to respond rapidly to changes in the market environment' will continue for a while.”"
"버지, 엔가젯 등 IT외신은 이 또한 임시방편에 불과하며, 구글이 장차 크롬에서 파일시스템 API를 완전 제거할 것으로 내다봤다.",IT foreign media such as Burgie and Engadget also predicted that it will be just a temporary fix and that Google will completely remove file system APIs from Chrome in the future.
고진영은 ANA 인스퍼레이션 우승으로 45만 달러(약 5억1246만원)의 상금을 더해 올 시즌 누적 상금이 올 시즌 LPGA투어에서 가장 먼저 상금 100만 달러(11억3870만원)를 돌파한 주인공이 됐다.,"Ko added 450,000 U.S. dollars (about 512,460,000 won) in prize money to become the first player on the LPGA Tour to surpass 1,000,000 U.S. dollars (about 1,138,700,000 won) in prize money."
"고용노동부가 불법파견 판정을 받은 하청업체 소속 비정규직 노동자 774명을 정규직으로 직접 고용하라고 한국지엠(GM) 창원공장에 지시했으나, 한국지엠은 “경영정상화에 방해가 될 수 있다”는 등 이유로 이를 거부했다.","The Ministry of Employment and Labor ordered GM Korea's Changwon plant to directly hire 774 non-regular workers from subcontractors who were declared to have been illegally dispatched to the country as regular workers, but GM Korea rejected the request, citing that it could hamper its management normalization."
"검은사막 모바일은 2018년 2월 국내에서 첫 선을 보였고, 대만·홍콩·마카오에 지난 8월 출시해 좋은 지표를 보이고 있다.","The Black Desert Mobile was the first in Korea in February 2018, and has been released in Taiwan, Hong Kong, and Macao in August, showing a good indicator."
나디아는 22세이던 1995년 가까운 친구가 히잡을 쓰는 등 이슬람 율법을 엄격히 따르는 것을 보고 종교에 관심을 갖게 됐다.,"Nadia became interested in religion when she saw her close friend follow Islamic law strictly, including using hijab in 1995, when she was 22."
부모와 어린이가 다양한 체험 활동을 함께 하며 교통 안전에 대해 배우는 무료 체험형 교육 프로그램이다.,It is a free experiential education program that parents and children do various hands-on activities and learn about traffic safety.
공공임대주택 거주 가구 및 중위소득 44% 이하 자가가구는 별도의 지원 사업이 있으므로 본 사업에서는 제외된다.,"Households living in public rental housing and homeowners, living in their own home, with a median income of 44% or less are excluded from this project because they have a separate support project."
국군기무사령부가 지난해 박근혜 전 대통령의 탄핵심판이 기각돼 시위가 격화할 경우 계엄령을 선포하고 서울 광화문에 장갑차를 투입하는 등의 구체적인 계획을 세웠다고 청와대가 20일 밝혔다.,"The Blue House announced on the 20th that the Defense Security Command had specific plans last year if Park Geun-hye, former president's impeachment trial had been rejected and protests had been intensified, it would have declared martial law and put armored vehicles into Gwanghwamun, Seoul."
"경찰 조사 결과, A씨가 도주에 이용한 오토바이는 사건 발생 하루 전인 지난 15일 오후 10시께 안동시 옥동의 한 치킨집에서 훔친 것으로 드러났다.","Police investigation revealed that the motorcycle that A used to escape was stolen from a chicken restaurant in Ok-dong, Andong-si, on the 15th, which is a day before the incident."
소형이고 밑에 바퀴가 달려 이동이 간편하며 방사선 차폐도 용이하다.,It is compact and has a wheel on the bottom for easy movement and radiation shielding.
스웨덴 모델에서 얻은 복지국가 지식과 이론들이 우리의 현실에서 어떻게 적용되고 제도화돼야 하는지 등 저자의 경험과 실천을 통해 알기 쉽게 잘 설명했다.,How knowledge and theories acquired from the Swedish model should be applied to and institutionalized in our reality were explained well through the writer's experiences and practices.
"다만, 보안 요원이나 입구에 따라 검사의 편차가 크기 때문에 실제 여권과 비표를 꼭 소지하는 것이 안전하다.","However, depending on the security agent or entrance, the difference in examinations is big, so it is safe to have your passport and ticket in possession."
지난 6·13지방선거 때 시장·군수 후보자 60여명이 이를 공약한 바 있고 정치권도 제도화 방안을 내년 총선공약으로 제시할 가능성이 크기 때문이다.,"About 60 candidates for the mayoral and military posts pledged to do so in the June 13 local elections, and politicians are highly likely to suggest a plan to institutionalize the system as a pledge for next year's general elections."
북한 비핵화를 위해서는 러시아의 협조가 절실한 상황에서 체코 원전에 강점을 가진 러시아를 자극할 수 있다는 부담도 있다.,"There is also a burden that it could provoke Russia, which has strengths in Czech's nuclear power plant, at a time when Russia's cooperation is desperately needed to denuclearize North Korea."
달러 가치는 최근 미중 무역전쟁에 대한 긴장감이 높아지면서 올 들어 다른 주요 통화 대비 5% 이상 올랐다.,"The U.S. dollar value has risen more than 5% compared to other major currencies this year, as tensions have increased over the recent US-China trade war."
나아가 현대차 노사가 합의에 도달할 경우 올해 완성차 5개사가 무분규 임협 타결을 달성할 것으로 보인다.,"Furthermore, if Hyundai Motor's labor and management reach an agreement, the 5 carmakers are expected to achieve the conclusion of reckless forestry cooperation this year."
김의겸 대변인은 26일 정례 브리핑을 통해 ‘안 의사의 유해 공동 발굴에 남·북·중이 공감하고 있나’라는 질문에 대해 다음과 같이 답했다.,"On the 26th at a regular briefing, the spokesman Kim Eui-kyeom answered the question, ""Are the South, the North and the Chinese sympathizing with Ahn's joint discovery?"""
단 둘이 만나는 것이 처음이라 초반에는 어색했지만 동생인 기안84를 위한 진지한 스타일링과 통 큰 선물을 건넨 한혜진의 누나미(美)는 엄지를 치켜세우게 했다.,"It was awkward at first because it was the first time for the two to meet, but Han Hye-jin's sister, who gave the serious styling guide and a big present for her younger brother, Gian 84, made viewers raise their thumbs."
뉴욕타임스(NYT)는 문 대통령의 주요 목표가 북·미 간 차이를 좁히는 것이며 문 대통령이 이에 성공한다면 2차 북·미 정상회담이 가능할 수도 있다고 평했다.,"The New York Times (NYT) said that President Moon's main goal is to narrow the gap between the U.S. and North Korea, and if he succeeds in this, a second summit between the North and the U.S. could be possible."
"세상을 만드신 하나님, 좋은 사람들을 주신 하나님, 항상 보호하시는 하나님, 나를 사랑하시는 하나님에 대한 감사들이 주제다.","The subjects are on gratitude to God who made the world, God who gave good people, God who always protects, and God who loves me."
자신이 첼시 사령탑 시절 들어 올린 리그 우승컵의 개수였다.,It was the number of league victory cups he raised when he was Chelsea's head coach.
"같은달 28일 라오스에서 36개 화장품 용기 바닥에 숨겨진 야바 3476정 등이 인천국제공항에 도착했고, 일주일 뒤 11월 5일 A씨와 B씨는 국제등기우편물을 수령하려다가 검찰 수사관에게 체포됐다.","On the 28th of the same month, 3,476 pills of Yaba hidden on the bottom of 36 cosmetic containers arrived at the Incheon International Airport, and a week later, which was November 5th, A and B who tried to receive the registered international mail were arrested by the prosecutors."
선 교수 연구팀이 2000년부터 2017년까지 서울성모병원에서 편도암 치료를 받은 환자 231명을 대상으로 조사를 해보니 HPV 감염률이 무려 65.5%에 이른 것으로 나타났다.,"Professor Sun's research team surveyed 231 patients who received tonsil cancer treatment at Seoul St. Mary's Hospital from 2000 to 2017, the rate of HPV infection reached 65.5%."
여기에 집주인이 높아진 세 부담을 임차인에게 전가할 가능성도 제기됐다.,Possibility that the landlord would pass on the higher tax burden to the tenant is also raised.
수년간 국제무대에서 한국 팀과 칼끝을 맞댄 탓에 이제는 미운 정 고운 정이 다 든 해외 베테랑 플레이어들에게 직접 물었다.,"Having faced the Korean team on the international stage for many years, he/she asked personally veteran players overseas who now have a strong affection."
부동산개발업자들이 무분별한 부동산 공급을 통해 부동산 투기를 조장하면서 중국 내 부동산 거품 논란이 일고 있기 때문이다.,The reason is that controversy is being sparked over the bubbled real estate in China as real estate developers are abetting speculation through reckless real estate supply.
국민연금이 주식과 채권을 제외한 대체투자상품에 대한 투자를 확대하기로 했다.,"National Pension has decided to expand investment in alternative investment products, excluding stocks and bonds."
당초 챔피언스리그는 다음 시즌부터 VAR이 도입되는 것으로 예정돼 있었다.,The Champions League was scheduled to introduce VAR from next season.
송은이가 대표로 있는 콘텐츠 제작 회사 ‘비보(VIVO)’ 유튜브 채널을 통해 올라온 곡 ‘셀럽파이브(셀럽이 되고 싶어)’의 뮤직비디오는 현재까지 누적 조회수가 640만회를 넘는다.,"The music video of ""Celeb Five (I wanna be a Celeb),"" a song which was uploaded through the YouTube channel of ""VIVO"", a content production company whose CEO is Song Eun-i, has more than 6.4 million cumulative views so far."
"마리넬로가 지난해 허츠 CEO에 취임했을 때, 렌터카 업계는 대안으로 부상한 우버와 리프트 같은 신생기업들 때문에 혼란을 겪고 있었다.","When Marinello was appointed as the CEO of Hertz, the rental car industry was amid confusion because the new companies like Uber and Lift rose as alternates."
하태경 바른미래당 의원은 이해찬 더불어민주당 대표의 ‘정무적 판단’ 발언과 관련해 “이 대표가 문재인 대통령보다는 이재명 경기지사와 ‘우리는 한 배’라는 의식이 강한 것 같다”고 지적했다.,"Rep. Ha Tae-kyung of the Bareunmirae Party pointed out in relation to ""political judgment"" remarks made by Lee Hae-chan, chairman of the Democratic Party of Korea, saying, ""Representative Lee seems to be more conscious of 'we are on the same ship' with Gyeonggi-do Governor Lee Jae-Myung, rather than President Moon Jae-in."
한유총이 실제로 불법적인 집단행동에 나설 가능성은 낮다는 분석도 나온다.,Some analysts say that it is unlikely that Korea Kindergarten Association will actually engage in illegal collective action.
소결 공정은 흑연분말을 열전전도가 우수한 방향으로 제어해 겹겹이 층을 이루는 형태의 층상 구조를 형성할 수 있다.,"""In the sintering process, the graphite powder may be controlled in a direction having excellent thermal conductivity to form a layered structure having layers."""
"1:1 매칭과 전략 매칭 형식으로 진행된 이번 비즈니스 상담회에는 한국 31개사 및 중국 유쿠(YOUKU), 아이치이(IQIYI) 등 150여개사가 참여해 이 중 웹툰 기업은 상담횟수 242건을 달성했다.","The business counseling session, which was conducted in the form of 1:1 matching and strategy matching, involved 31 South Korean companies, including YOUKU of China and IQIYI of China, and among them, Webtoon companies achieved 242 cases of counseling."
이 죽음의 이중성이 하나의 모습으로 겹치는 때가 있다.,There are times when this duality of death overlaps into one form.
두 번의 내용 증명 발송과 국내 소송에 이어 국제적인 소송까지 제기한 것은 LG화학이 시간을 두고 차근차근 준비한 것으로 업계는 해석하고 있다.,"The business circle interprets the fact that they have raised an international lawsuit, in addition to 2 contents-certified mails and a domestic lawsuit, was for LG Chem to take time and prepare step by step."
청천벽력같은 소리에 클로이가 어쩔 줄 몰라하자 그의 남자친구도 나섰습니다.,"When Chloe had no idea of what to do with the sound of the bolt from the blue, her boyfriend went out."
"검찰이 법원에 낸 진술서는 방씨 공소장에 첨부된, 기소 하루 전인 1989년 8월11일 작성된 ‘변호인 접견 결과'라는 서류였다.","The statement submitted by the prosecution to the court was a document attached to the complaint by Mr. Bang titled “Result of Attorney Meeting” written on August 11, 1989, a day before the indictment."
"고(故) 노회찬 전 의원의 지역구로, ‘진보정치 1번지’라는 별칭이 붙은 창원성산에서는 민주당과 정의당 간 경쟁이 치열하다.","Strong competition took place in Changwon Seonsan, a former district of former Roh Hoi-chan as well as nicknamed ”No.1 Progressivism,” between the Democratic Party and the Justice."
기술이 완성되려면 3년 이상 걸릴 것으로 예상됩니다.,The technology is expected to take three years or more to complete.
신인다운 풋풋하고 청량감 가득한 모습으로 등장한 에버글로우는 후렴구가 나오자 카리스마 가득한 눈빛으로 돌변하며 곡의 분위기를 한껏 살렸다.,"Everglow, who appeared in a refreshing appearance, turned into a charismatic look when they sang the chorus part, showing the unique appeal of the song."
국정연설이 연기된 것은 지난 1986년 로널드 레이건 전 대통령이 우주왕복선 챌린저호 폭발사고로 국정연설을 연기한 후 33년 만이며 의장의 거부로 연기된 것은 이번이 처음이다.,"It was the first time that the national speech was postponed by the chairperson, and it has been in 33 years since President Ronald Reagan in 1986, postponing the talks in the explosion of the space shuttle Challenger."
"북미 정상이 김 위원장의 신년사를 전후로 다시 한번 ‘친서 외교’를 가동, 2차 핵 담판 의지를 분명히 한 상황이기 때문이다.",This is because North Korea-US leaders have made their commitment to the second nuclear standoff by launching “letter diplomacy” before and after Kim's New Year.
당연히 윤리위나 한 단계를 더 거치거나 하는 게 맞다.,"Of course, it is right to go through the ethics committee or another step."
이는 도널드 트럼프 미국 대통령이 국제 사회에 큰 충격을 줄 수 있는 트윗을 아무렇지도 않게 매일 올리는 것을 뜻한다.,That means US President Donald Trump casually posts daily tweets that can have a big impact on the international community.
"오늘까지 바람이 매우 강하게 불고, 물결이 매우 높게 일겠으니, 항해나 조업하는 선박은 각별히 유의하기 바랍니다.","Until today the wind will be very strong and the waves will be very high, pay particular attention to the sailing and operating vessels."
실제로 박사·석사 학위 논문의 경우 동북공정 프로젝트가 끝난 이듬해인 2008년 총 15편으로 정점을 찍은 후에도 꾸준히 10편 안팎의 연구물이 나오고 있다.,"""In fact, the doctoral and master's thesis has been steadily appearing in about 10 papers after peaking at 15 papers in 2008 the year after the Northeast Project."""
경상남도 함양군의 다섯 할매 학생들과 유쾌 발랄 짝꿍들의 동고동락 한글 공부기를 담은 MBC 파일럿 ‘가시나들’이 5월 19일(일) 6시 45분 첫 방송을 확정했다.,"MBC pilot Gashinadeul, which contains Hangul study of five elderly women students and cheerful youths of Hamyang-gun, Gyeongsangnam-do, confirmed the first broadcast at 6:45 on Sunday, May 19."
세관 조사 결과 이들은 국내 투자운용사들이 업체에서 제출하는 사업계획서와 기술 자료 등 서류만으로 투자 여부를 결정한다는 점을 악용한 것으로 드러났다.,"According to a customs investigation, they took advantage of the fact that local investment management firms decide whether to invest only in documents such as business plans and technical data submitted by companies."
앞서 정부는 지난해 11월 광주광역시에서 환경미화원이 사망하는 사고가 잇따라 일어나자 지난 1월 ‘환경미화원 작업안전 개선대책’을 발표한 바 있다.,The government earlier announced a set of measures to improve the safety of the environment cleaners in January after accidents that caused deaths of several environment cleaners in Gwangju in November last year.
남성의 경우 전립선 관련 질환에도 효과가 있다.,"In men, it is also effective in prostate-related diseases."
"세계사적 격변의 20세기 전체를 관통한 니덤의 실제 삶이 그랬고, 그 모든 걸 현장에서 지켜본 것처럼 생동감 있게 되살려낸 서술이 그렇다.","This was the real life of Joseph Needham, which went through the entire 20th century of world history upheaval, and the description brought it all to life as if it had been watched in the field."
영국 스포츠카 브랜드 맥라렌이 F1 레이싱 대회의 전설 GTR 롱테일(LT)의 계보를 잇는 모델 600LT를 국내 시장에 내놨다.,British sports car brand McLaren has launched a 600LT model that continues the legendary GTR Longtail (LT) of the F1 racing competition.
새가족 교육 전임자인 박미연 전도사가 성경과 기념품 등이 담긴 선물 꾸러미를 전하자 여기저기서 격려의 박수가 이어졌다.,"Missionary Park Mi-yeon, who is in charge of educating new members, gave a gift package containing bibles and souvenirs, which led to encouragement of clap from everywhere."
보도에 따르면 아프간군 11명과 우크라이나 출신 조종사와 승무원 3명이 탄 헬기가 발흐 주 데다디의 한 군사기지에서 이륙한 직후 추락해 폭발했다.,"According to the report, the helicopter carrying 11 Afghan troops, a Ukrainian pilot, and 3 flight attendants crashed right after it took off from a military base in Daddadi, Balch, and exploded."
2015년 시작한 프리미엄 푸드마켓 ‘마켓 컬리’가 새벽 배송 서비스인 ‘샛별 배송’으로 몸집을 키우면서 주요 유통업체들도 새벽배송 서비스에 뛰어들고 있다.,"Major grocery retailers are jumping to the service at dawn as ""Market Kurly,"" a premium food market that started in 2015, grows in size with ""dawn delivery"" service."
증선위의 이번 판단에는 정치적 계산이 깔려 있다는 지적도 나온다.,It is pointed out that the committee's decision is based on political calculations.
"경제학계에선 최근 인공지능, 자율차, 사물인터넷, 로봇, 공유경제 등의 현상을 보면서 새로운 산업혁명이 시작된 게 아니냐를 놓고 논쟁을 벌이고 있다.","Economic academia is arguing whether a new industrial revolution has begun when looking at recent phenomena such as artificial intelligence, self-driving cars, IoT, robots, shared economies, etc."
"보건산업혁신창업센터는 보건산업 분야의 기술과 아이디어가 제품화 될 수 있도록 컨설팅, 자금지원 및 투자유치 등 전주기적 기술사업화 서비스를 원스톱으로 지원하기 위해 설립됐다.","The Center for Health Industry Innovation Startup was established to provide a one-stop service for total periodic technology commercialization such as consulting, funding support and attracting investment so that technologies and ideas in the health industry can be manufactured."
국가 보조금을 지원받으면 최저 410만원에도 구입이 가능하다.,"If you receive state subsidies, it can be purchased at a minimum of KRW 4.1 million."
탄소섬유 CNG 고압용기는 강철로 만든 용기 대비 인장강도가 두배 이상 강한 반면 무게는 절반 수준이라 친환경 제품이라는 평가를 받는다.,"Carbon fiber CNG high-pressure containers are more than twice the tensile strength of containers made of steel, while their weight is half the level, making them considered eco-friendly."
"사교육걱정없는세상은 “이전 정부부터 사교육비 폭등 신호가 지속적으로 나타났고 지난해 발표한 2022학년도 대입제도, 2019학년도 불수능, 미온적인 고교체제 개선 등이 학부모와 학생들의 불안감을 불러왔기 때문”이라고 분석했다.","""There have been continuous signs of soaring private education costs since the previous government, and the college entrance system for the 2022 academic year, the very difficult 2019 college entrance exam, and the lukewarm high school system have caused anxiety among parents and students,"" said a world without concerns about private education."
"서면심사를 통과한 과제는 영문 20장으로 구성된 연구계획서를 작성하고, 발표심사는 해당 분야 전문가로 구성된 심사위원단이 1시간 동안 질의 응답을 통해 연구과제 혁신성, 수행능력 등을 종합 평가한다.","For the project that passed the written review, a research plan consisting of 20 pages in English should be prepared, and for the presentation review, a review panel composed of experts in the field will comprehensively evaluate the innovation and performance of the research task through question and answer for one hour."
"예를 들면, 법률과 관련된 지문의 경우 생소한 법률 용어의 ‘개념’을 위주로, 생물 지문의 경우 지문에서 설명하고자하는 메커니즘에 대한 ‘과정’을 중심으로 독해하는 것이 좋다.","For example, for legal text, it is recommended to read mainly the 'concept' of unfamiliar legal terminology, or for biological text, the 'process' of the mechanism to be described in text."
세계에서 유일하게 왕의 연호를 사용하는 일본에서는 새 일왕 체제의 시작과 함께 정치·경제·사회 등 곳곳에서 많은 변화의 전환점을 맞으며 역사의 새 페이지가 열리게 된다.,"In Japan, the only country in the world that uses the era name of king, a new page of history unfolds with the start of the new king regime and it makes changes to its politics, economy, and society."
‘대면진료를 해야 강제진단(진단을 위한 입원) 조치가 가능하다’는 주장은 ‘대면진료를 해야 대면진료가 가능하다’는 모순된 말장난일 뿐이다.,"The argument that ""Forced diagnosis (inpatient for diagnosis) can be taken only by face-to-face treatment"" is a contradictory pun equivalent to saying that ""Face-to-face treatment can only take place when face-to-face treatment is taken place."""
기념주화는 지난 5월 9일부터 22일까지 14일간 예약 접수를 실시했으며 접수자가 발행량인 1만장을 넘어서 6월 4일 컴퓨터 프로그램 추첨을 통해 당첨자를 결정한다.,"The commemorative coins were booked for 14 days from May 9th to 22th, and the number of recipients exceeded 10,000, which will be decided through a lottery of computer programs on June 4."
"노동 문제를 다룰 때는 노동자가, 교육 문제는 교육자가, 여성 문제는 여성이 참여하고 주도하는 게 당연하게 여겨지면서 청년 문제에서는 청년이란 당사자가 배제돼 있다.","While workers dealing with labor issues is considered natural, educators, educational problems, and women, women problems, young people are excluded from the youth problem."
이 배는 옛 소련이 건조하다 중단한 것을 중국이 1998년 사들여 개조한 뒤 2012년 8월 실전 배치한 것이다.,The ship was put into service in August 2012 after China bought it in 1998 and renovated it after the Soviet Union stopped building it.
다만 국가공부원법 제63조 품위유지 의무 등을 위반한 것에 해당된다고 보고 다음 달 중 외부위원이 과반을 차지하는 징계위를 소집해 품위손상에 관한 징계수위를 정할 예정이다.,"""However, the ministry plans to convene a disciplinary committee, which constitutes a majority of the members of the external committee, next month to determine the level of punishment for any damage to dignity, as it believes it is a violation of the obligation to maintain dignity under Article 63 of the Government Officials Act."""
"장 대표가 감미로운 찬양 유튜브 동영상을 그에게 들려줬고, 이내 평안을 찾은 김씨는 아픈 곳이 나았다며 고마워했다는 것이다.","CEO Jang played him a YouTube video of sweet hymns, and Kim soon found the peace and thanked him that his sore spot got healed."
미국 법무부가 세계 최대 통신장비업체인 중국 화웨이에 대해 ‘기술 탈취’ 혐의로 수사하고 있으며 조만간 기소할 수 있다고 월스트리트저널(WSJ)이 16일(현지시간) 보도했다.,"The Wall Street Journal (WSJ) reported on the 16th (local time) that the U.S. Department of Justice is investigating China's Huawei, the world's largest telecommunications equipment company, on the charge of Extortion Of Technology and may prosecute it soon."
과거 몽골제국 황제 칭기즈칸이 즐겨마셨다고 알려진 전통 발효주 마유주의 유산균과 동일한 균종에서 효능이 우수한 균주를 선별했다.,"Strains with good efficacy was selected from the same strains as lactobacillus in the traditional fermented horse milk liquor, which is known to be enjoyed by the Mongolian Empire emperor Genghiz Khan."
많은 사람이 통신사를 바꾸면서 지원 혜택을 선호합니다.,Many people prefer the benefits they receive by switching carriers.
이때 우리가 해야 할 일은 오직 하나님의 말씀과 성령의 힘으로 모든 사탄의 세력을 물리치고 그리스도의 통치를 이루는 것입니다.,"At this time, all we have to do is to defeat all the forces of Satan and to achieve Christ's reign by the power of God's word and the Holy Spirit."
"스튜디오 실장 정씨는 “모델들의 거짓말에 의존한 수사, 일부 왜곡 과장된 보도로 인해 사회적으로 매장당했다”는 유서를 남긴 채 지난 9일 북한강에 투신했고, 사흘 뒤 시신이 발견됐다.","Studio chief Chung jumped into the Bukhan River on the 9th, leaving a suicide note that he was ""socially buried due to investigations that relied on lies by models, some distorted and exaggerated reports,"" and his body was found three days later."
이군이 주먹을 치켜올리며 기합을 내지르자 관중석에서 환호가 터져 나왔다.,Cheers burst out from the crowd as Lee rallied with his fist raised.
경찰은 외부 침입 흔적이 없는 점 등으로 미뤄 A씨가 아내를 살해하고 투신해 스스로 목숨을 끊었을 가능성이 큰 것으로 보고 조사를 벌이고 있다.,"Given that there were no signs of outside intrusion, police are investigating the possibility that A killed his wife and jumped to his death on his own."
규모가 좀 되는 도시마다 이런 시설이 있었다.,Some big cities had such facilities.
블룸버그통신 등 서방 언론과 베이징 외교가를 중심으로 이번 북미 정상회담이 중국의 의도대로 흘러갔다는 평가가 나오고 있다.,Many primarily from the Western press such as Bloomberg as well as Beijing diplomatists assess that this North Korea-U.S. Summit had gone according to the intent of China.
"올해 춘계대학축구연맹전은 참가팀이 무려 80개에 이르는 점을 고려, KBS N배와 통영배 등 두 대회로 나뉘어 열렸다.","Given that the Spring College Football Federation has 80 participating teams. It was divided into two contests, KBS N bae and Tongyeong-bae."
가격이 싼 중국산의 수요가 자리잡고 있기 때문이다.,This is because the demand for cheap Chinese products is getting settled.
베젤이 거의 없이 화면이 기기 전면을 뒤덮은 형태로 전면 카메라 2개만 화면에 구멍이 뚫린 형태로 배치된다.,"With almost no bezel, the screen entirely covers the front of the device, and only two front cameras will be placed as holes in the screen."
서울시교육청 관계자는 3일 “지난 10월 4일 대원외고 3학년 여학생 A양은 같은 반 남학생 B군이 자신을 몰래카메라 촬영했다며 경찰에 학교와 경찰에 신고했다”고 밝혔다.,"A female student in the third grade of Daewon Foreign Language High School reported her classmate, B to the school and police on Oct. 4, saying that the male classmate took a photo of her with a hidden camera, said an official at the Seoul Metropolitan Office of Education."
"박 교사는 “아이디어를 구현하는 과정에서 실패도 많이 하지만, 이를 하나씩 보완하고 극복하면서 성장하는 모습이 나타났다”며 “실패를 통해 배운다는 의미를 학생 스스로 느끼고 있다”고 말했다.","""Although there were many failures during the process of implementing the idea, they were able to improve by overcome them one by one,"" teacher Park said. ""The students themselves feel the meaning of learning through failure."""
경찰에 따르면 가해자 4명은 숨진 A씨를 주먹은 물론 조립식 옷걸이 봉으로 돌아가며 때린 것으로 밝혀졌다.,"According to the police, the four assailants were found to have hit the dead A back and forth with their fists as well as a prefabricated clothing rod."
"로얄앤컴퍼니의 ‘유니버셜 클래식 패키지’에 포함된 ‘안전 손잡이’(13만3천원·시공비 별도)는 양변기, 샤워기 등 원하는 곳에 설치가 가능해 안전사고를 예방할 수 있다.","The Safety Handle (KRW 133,000, plus construction cost) included in the Royal & Company's Universal Classic Package can be installed in any place necessary to prevent safety accidents such as the toilet, shower, etc."
당시 청와대 ‘그분’의 골칫거리였던 주요 사건을 비롯해 일부 재판에 대법원이 관여하고 그 대가로 상고법원 도입에 청와대가 힘 좀 써달라는 것이었습니다.,"The proposal was that the Supreme Court involves in some trials, including a major case that had been a headache for ""her"" in Cheong Wa Dae at the time, and in return, the Cheong Wa Dae puts some effort into introducing an appellate court."
만주로 이주해 독립운동에 헌신한 백하 김대락이 1885년에 지은 가옥이다.,"It is a house built in 1885 by Baekha Kim Dae-rak, who moved to Manchuria and dedicated to the independence movement."
세계 경제 전망도 점차 어두워지고 있는데다 미국 연방준비제도도 금리인상 속도 조절을 시사한 상황에 한은이 서두를 이유는 없는 상황이다.,"The global economic outlook is getting darker, and at a time when the U.S. Federal Reserve also hinted at adjusting the pace of rate hikes, the central bank has no reason to hurry."
페트로 포로셴코 우크라이나 대통령은 “러시아가 군사적 긴장을 조성하기 위해 고의적으로 공격을 가했다”고 주장하며 전시내각을 소집했다.,"Ukrainian President Petro Poroshenko called a war cabinet meeting, claiming, ""Russia deliberately launched attacks to create military tensions."""
서울고법 형사3부(부장판사 배준현)는 국가정보원 특수활동비를 전달한 혐의(뇌물 방조)로 재판에 넘겨져 1심에서 무죄가 선고된 김 전 기획관에 대한 1회 공판기일을 열었다.,"The Criminal Chamber 3 of Seoul High Court (Presiding Judge Bae Jun-hyun) held the first trial period for former Director General Kim, who was acquitted in the first trial of charges of delivering the National Intelligence Service's special activity funds (abetting bribery)."
세상에 태어나서 이렇게 늦복이 터질 줄은 몰랐다.,I didn't expect such a good fortune came to me in my later days after having been born in the world.
"하루 평균 611만명이 이동하고, 추석 당일인 24일에는 760만명이 이동해 이번 연휴 최대 이동량을 기록할 것으로 예상된다.","An average of 6.11 million people are expected to move daily, and 7.6 million people are expected to move on the day of Chuseok, the largest amount of movement this holiday."
현주엽 감독이 전화 통화를 할 때 구단 직원이 녹음을 했지만 구단은 이같은 사실을 선수에게 알리지 않았다.,"When Hyun Joo-yeop made a phone call, a staff member recorded, but the club did not inform the player of the fact."
방송 직후 공개된 7회 예고 영상에선 경석의 수하인 지웅(진현빈)의 무리에게 당해 기절한 채 어디론가 실려 가는 민철의 모습이 포착됐다.,"In the preview video of the 7th episode, which was released shortly after the show, Min-cheol was captured unconscious and being carried away somewhere, after he was attacked by the party of Ji-woong(Jin Hyun-bin), a man under Kyung-seok's command."
